run_id,phase,seed,n_agents,kappa,concentration,mu,monotonicity,maturity_days,Q_total,S1,L0,scenario_yaml,events_jsonl,balances_csv,metrics_csv,metrics_html,run_html,default_handling,dealer_enabled,status,time_to_stability,phi_total,delta_total,error
comparison_treatment_fbb81d756d68,comparison_treatment,72,100,0.5,0.5,0,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_fbb81d756d68/scenario.yaml,../runs/comparison_treatment_fbb81d756d68/out/events.jsonl,../runs/comparison_treatment_fbb81d756d68/out/balances.csv,../runs/comparison_treatment_fbb81d756d68/out/metrics.csv,../runs/comparison_treatment_fbb81d756d68/out/metrics.html,../runs/comparison_treatment_fbb81d756d68/run.html,expel-agent,True,completed,1,0.5617085427135678391959798995,0.4382914572864321608040201005,
comparison_treatment_b9cf426ce81d,comparison_treatment,73,100,0.5,0.5,0.25,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_b9cf426ce81d/scenario.yaml,../runs/comparison_treatment_b9cf426ce81d/out/events.jsonl,../runs/comparison_treatment_b9cf426ce81d/out/balances.csv,../runs/comparison_treatment_b9cf426ce81d/out/metrics.csv,../runs/comparison_treatment_b9cf426ce81d/out/metrics.html,../runs/comparison_treatment_b9cf426ce81d/run.html,expel-agent,True,completed,9,0.5603456939001105416541051151,0.4396543060998894583458948849,
comparison_treatment_7b2d999f1611,comparison_treatment,74,100,0.5,0.5,0.5,0,10,10000.0,9999.999999999999999999999999,20000,../runs/comparison_treatment_7b2d999f1611/scenario.yaml,../runs/comparison_treatment_7b2d999f1611/out/events.jsonl,../runs/comparison_treatment_7b2d999f1611/out/balances.csv,../runs/comparison_treatment_7b2d999f1611/out/metrics.csv,../runs/comparison_treatment_7b2d999f1611/out/metrics.html,../runs/comparison_treatment_7b2d999f1611/run.html,expel-agent,True,completed,9,0.6225258715965035667637898121,0.3774741284034964332362101879,
comparison_treatment_6ca197637ea0,comparison_treatment,75,100,0.5,0.5,0.75,0,10,10000.0,10000.00696437350510753805095,20000,../runs/comparison_treatment_6ca197637ea0/scenario.yaml,../runs/comparison_treatment_6ca197637ea0/out/events.jsonl,../runs/comparison_treatment_6ca197637ea0/out/balances.csv,../runs/comparison_treatment_6ca197637ea0/out/metrics.csv,../runs/comparison_treatment_6ca197637ea0/out/metrics.html,../runs/comparison_treatment_6ca197637ea0/run.html,expel-agent,True,completed,10,0.4826720241084881968859869412,0.5173279758915118031140130588,
comparison_treatment_6315f4734668,comparison_treatment,76,100,0.5,0.5,1,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_6315f4734668/scenario.yaml,../runs/comparison_treatment_6315f4734668/out/events.jsonl,../runs/comparison_treatment_6315f4734668/out/balances.csv,../runs/comparison_treatment_6315f4734668/out/metrics.csv,../runs/comparison_treatment_6315f4734668/out/metrics.html,../runs/comparison_treatment_6315f4734668/run.html,expel-agent,True,completed,10,0.6921221864951768488745980707,0.3078778135048231511254019293,
comparison_treatment_d0743471d6f8,comparison_treatment,77,100,0.5,1,0,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_d0743471d6f8/scenario.yaml,../runs/comparison_treatment_d0743471d6f8/out/events.jsonl,../runs/comparison_treatment_d0743471d6f8/out/balances.csv,../runs/comparison_treatment_d0743471d6f8/out/metrics.csv,../runs/comparison_treatment_d0743471d6f8/out/metrics.html,../runs/comparison_treatment_d0743471d6f8/run.html,expel-agent,True,completed,1,0.7320064334539605950944913550,0.2679935665460394049055086450,
comparison_treatment_70fffdc04dfa,comparison_treatment,78,100,0.5,1,0.25,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_70fffdc04dfa/scenario.yaml,../runs/comparison_treatment_70fffdc04dfa/out/events.jsonl,../runs/comparison_treatment_70fffdc04dfa/out/balances.csv,../runs/comparison_treatment_70fffdc04dfa/out/metrics.csv,../runs/comparison_treatment_70fffdc04dfa/out/metrics.html,../runs/comparison_treatment_70fffdc04dfa/run.html,expel-agent,True,completed,9,0.7403015075376884422110552764,0.2596984924623115577889447236,
comparison_treatment_3f79acb940ad,comparison_treatment,79,100,0.5,1,0.5,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_3f79acb940ad/scenario.yaml,../runs/comparison_treatment_3f79acb940ad/out/events.jsonl,../runs/comparison_treatment_3f79acb940ad/out/balances.csv,../runs/comparison_treatment_3f79acb940ad/out/metrics.csv,../runs/comparison_treatment_3f79acb940ad/out/metrics.html,../runs/comparison_treatment_3f79acb940ad/run.html,expel-agent,True,completed,9,0.6340164757886276873618645771,0.3659835242113723126381354229,
comparison_treatment_4420e603e5e3,comparison_treatment,80,100,0.5,1,0.75,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_4420e603e5e3/scenario.yaml,../runs/comparison_treatment_4420e603e5e3/out/events.jsonl,../runs/comparison_treatment_4420e603e5e3/out/balances.csv,../runs/comparison_treatment_4420e603e5e3/out/metrics.csv,../runs/comparison_treatment_4420e603e5e3/out/metrics.html,../runs/comparison_treatment_4420e603e5e3/run.html,expel-agent,True,completed,10,0.6995375954965822275834338561,0.3004624045034177724165661439,
comparison_treatment_80e2d1f9a5ef,comparison_treatment,81,100,0.5,1,1,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_80e2d1f9a5ef/scenario.yaml,../runs/comparison_treatment_80e2d1f9a5ef/out/events.jsonl,../runs/comparison_treatment_80e2d1f9a5ef/out/balances.csv,../runs/comparison_treatment_80e2d1f9a5ef/out/metrics.csv,../runs/comparison_treatment_80e2d1f9a5ef/out/metrics.html,../runs/comparison_treatment_80e2d1f9a5ef/run.html,expel-agent,True,completed,10,0.7259847266881028938906752412,0.2740152733118971061093247588,
comparison_treatment_3427ef888708,comparison_treatment,82,100,0.5,2,0,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_3427ef888708/scenario.yaml,../runs/comparison_treatment_3427ef888708/out/events.jsonl,../runs/comparison_treatment_3427ef888708/out/balances.csv,../runs/comparison_treatment_3427ef888708/out/metrics.csv,../runs/comparison_treatment_3427ef888708/out/metrics.html,../runs/comparison_treatment_3427ef888708/run.html,expel-agent,True,completed,1,0.9675539929683576092415871421,0.03244600703164239075841285790,
comparison_treatment_501a21b46572,comparison_treatment,83,100,0.5,2,0.25,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_501a21b46572/scenario.yaml,../runs/comparison_treatment_501a21b46572/out/events.jsonl,../runs/comparison_treatment_501a21b46572/out/balances.csv,../runs/comparison_treatment_501a21b46572/out/metrics.csv,../runs/comparison_treatment_501a21b46572/out/metrics.html,../runs/comparison_treatment_501a21b46572/run.html,expel-agent,True,completed,9,0.9421994370727784479292320064,0.05780056292722155207076799356,
comparison_treatment_f09140e19658,comparison_treatment,84,100,0.5,2,0.5,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_f09140e19658/scenario.yaml,../runs/comparison_treatment_f09140e19658/out/events.jsonl,../runs/comparison_treatment_f09140e19658/out/balances.csv,../runs/comparison_treatment_f09140e19658/out/metrics.csv,../runs/comparison_treatment_f09140e19658/out/metrics.html,../runs/comparison_treatment_f09140e19658/run.html,expel-agent,True,completed,9,0.9604906001809590831406454207,0.03950939981904091685935457928,
comparison_treatment_5b89c942e76a,comparison_treatment,85,100,0.5,2,0.75,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_5b89c942e76a/scenario.yaml,../runs/comparison_treatment_5b89c942e76a/out/events.jsonl,../runs/comparison_treatment_5b89c942e76a/out/balances.csv,../runs/comparison_treatment_5b89c942e76a/out/metrics.csv,../runs/comparison_treatment_5b89c942e76a/out/metrics.html,../runs/comparison_treatment_5b89c942e76a/run.html,expel-agent,True,completed,10,0.8844337252537433423776504874,0.1155662747462566576223495126,
comparison_treatment_0c1bc858a556,comparison_treatment,86,100,0.5,2,1,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_0c1bc858a556/scenario.yaml,../runs/comparison_treatment_0c1bc858a556/out/events.jsonl,../runs/comparison_treatment_0c1bc858a556/out/balances.csv,../runs/comparison_treatment_0c1bc858a556/out/metrics.csv,../runs/comparison_treatment_0c1bc858a556/out/metrics.html,../runs/comparison_treatment_0c1bc858a556/run.html,expel-agent,True,completed,10,0.9753818327974276527331189711,0.02461816720257234726688102894,
comparison_treatment_644cb179d77d,comparison_treatment,87,100,0.5,5,0,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_644cb179d77d/scenario.yaml,../runs/comparison_treatment_644cb179d77d/out/events.jsonl,../runs/comparison_treatment_644cb179d77d/out/balances.csv,../runs/comparison_treatment_644cb179d77d/out/metrics.csv,../runs/comparison_treatment_644cb179d77d/out/metrics.html,../runs/comparison_treatment_644cb179d77d/run.html,expel-agent,True,completed,1,1,0,
comparison_treatment_29ad0a15349a,comparison_treatment,88,100,0.5,5,0.25,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_29ad0a15349a/scenario.yaml,../runs/comparison_treatment_29ad0a15349a/out/events.jsonl,../runs/comparison_treatment_29ad0a15349a/out/balances.csv,../runs/comparison_treatment_29ad0a15349a/out/metrics.csv,../runs/comparison_treatment_29ad0a15349a/out/metrics.html,../runs/comparison_treatment_29ad0a15349a/run.html,expel-agent,True,completed,9,1,0,
comparison_treatment_32e539ccfcb4,comparison_treatment,89,100,0.5,5,0.5,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_32e539ccfcb4/scenario.yaml,../runs/comparison_treatment_32e539ccfcb4/out/events.jsonl,../runs/comparison_treatment_32e539ccfcb4/out/balances.csv,../runs/comparison_treatment_32e539ccfcb4/out/metrics.csv,../runs/comparison_treatment_32e539ccfcb4/out/metrics.html,../runs/comparison_treatment_32e539ccfcb4/run.html,expel-agent,True,completed,9,1,0,
comparison_treatment_5210553ac1fb,comparison_treatment,90,100,0.5,5,0.75,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_5210553ac1fb/scenario.yaml,../runs/comparison_treatment_5210553ac1fb/out/events.jsonl,../runs/comparison_treatment_5210553ac1fb/out/balances.csv,../runs/comparison_treatment_5210553ac1fb/out/metrics.csv,../runs/comparison_treatment_5210553ac1fb/out/metrics.html,../runs/comparison_treatment_5210553ac1fb/run.html,expel-agent,True,completed,10,1,0,
comparison_treatment_f6276c59f04b,comparison_treatment,91,100,0.5,5,1,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_f6276c59f04b/scenario.yaml,../runs/comparison_treatment_f6276c59f04b/out/events.jsonl,../runs/comparison_treatment_f6276c59f04b/out/balances.csv,../runs/comparison_treatment_f6276c59f04b/out/metrics.csv,../runs/comparison_treatment_f6276c59f04b/out/metrics.html,../runs/comparison_treatment_f6276c59f04b/run.html,expel-agent,True,completed,10,1,0,
