kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
1,0.2,0.5,0,94,20,1.0,0.25,0.8246432857714361914921989599,0.8246432857714361914921989599,0E-28,0,0.1753567142285638085078010401,0.1753567142285638085078010401,balanced_passive_a3ca3ddf1d3c,completed,balanced_active_67458dcd4046,completed,0.0,0.0,2
1,0.2,0.75,0,95,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_98bb26e79fb0,completed,balanced_active_2c337bc73acb,completed,0.0,0.0,4
1,0.2,1,0,96,20,1.0,0.25,0.7427657020936124816642218963,1,-0.2572342979063875183357781037,-0.3463195691202872531418312387,0.2572342979063875183357781037,0,balanced_passive_dd37c293c180,completed,balanced_active_84e498f62eef,completed,0.0,0.0,2
1,0.5,0,0,97,20,1.0,0.25,0.8209761301506867582344312575,0.8209761301506867582344312575,0E-28,0,0.1790238698493132417655687425,0.1790238698493132417655687425,balanced_passive_58c2bf8214fc,completed,balanced_active_1785dc6acd68,completed,0.0,0.0,3
1,0.5,0.25,0,98,20,1.0,0.25,0.3635818109081210828110414722,1,-0.6364181890918789171889585278,-1.750412616908123968457729690,0.6364181890918789171889585278,0,balanced_passive_9415ae62972f,completed,balanced_active_e750f23c5761,completed,0.0,0.0,5
1,0.5,0.5,0,99,20,1.0,0.25,0.9437258301106814241898919856,0.9437258301106814241898919856,0E-28,0,0.05627416988931857581010801440,0.05627416988931857581010801440,balanced_passive_b5a353c7c3fc,completed,balanced_active_5302a6b4a161,completed,0.0,0.0,4
1,0.5,0.75,0,100,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_a86da74ad836,completed,balanced_active_3d7e09920795,completed,0.0,0.0,4
1,0.5,1,0,101,20,1.0,0.25,1,0.7031406281256251250250050010,0.2968593718743748749749949990,0.2968593718743748749749949990,0,0.2968593718743748749749949990,balanced_passive_f8fccc7f55cb,completed,balanced_active_23bfd8574324,completed,0.0,0.0,5
1,1,0,0,102,20,1.0,0.25,0.9616589984663599386543975462,0.9616589984663599386543975462,0E-28,0,0.03834100153364006134560245382,0.03834100153364006134560245382,balanced_passive_a81206e4f214,completed,balanced_active_8c0016950ce3,completed,0.0,0.0,4
1,1,0.25,0,103,20,1.0,0.25,0.4738631817575676756900920123,0.8972529670622749699959994666,-0.4233897853047072943059074543,-0.8934852961868580272970310960,0.5261368182424323243099079877,0.1027470329377250300040005334,balanced_passive_8e021617a882,completed,balanced_active_b78be3982600,completed,0.0,0.0,5
1,1,0.5,0,104,20,1.0,0.25,1,0.7304486965797719847989865991,0.2695513034202280152010134009,0.2695513034202280152010134009,0,0.2695513034202280152010134009,balanced_passive_f28df42649e6,completed,balanced_active_75ff99206c97,completed,0.0,0.0,6
1,1,0.75,0,105,20,1.0,0.25,0.8441021537640861505634460225,0.9189837967593518703740748150,-0.0748816429952657198106287925,-0.08871158859309582115490955061,0.1558978462359138494365539775,0.08101620324064812962592518504,balanced_passive_1946d22ceaa7,completed,balanced_active_d3cd7ed0942c,completed,0.0,0.0,6
1,1,1,0,106,20,1.0,0.25,1,0.7297459491898379675935187037,0.2702540508101620324064812963,0.2702540508101620324064812963,0,0.2702540508101620324064812963,balanced_passive_25190ee4d654,completed,balanced_active_a7b65165eff2,completed,0.0,0.0,5
