strategy,kappa,concentration,mu,outside_mid_ratio,total_face,default_face,default_rate,runs_using_strategy,mean_trading_effect
sell_before,0.25,0.2,0.75,1.0,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.2,0.75,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,1.0,0.5,1563.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,1.0,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,1.0,0.5,12936.0,12936.0,1.0,1,0.0
round_trip,0.25,0.2,1.0,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,1.0,0.75,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,1.0,0.75,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,1.0,0.75,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.2,1.0,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,1.0,0.8,500.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,1.0,0.8,862.0,0.0,0.0,1,0.0
sell_before,0.25,0.2,1.0,0.8,11902.0,11902.0,1.0,1,0.0
round_trip,0.25,0.2,1.0,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,1.0,0.9,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,1.0,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,1.0,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.2,1.0,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,1.0,1.0,1907.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,1.0,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,1.0,1.0,11513.0,11513.0,1.0,1,0.0
round_trip,0.25,0.2,1.0,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.0,0.5,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.0,0.75,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.0,0.8,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.0,0.8,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.0,0.8,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.5,0.0,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.0,0.9,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.0,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.0,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.5,0.0,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.0,1.0,14997.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.25,0.5,536.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.5,0.25,0.5,10843.0,10843.0,1.0,1,0.0
round_trip,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.5,0.25,0.75,14998.0,0.0,0.0,1,0.0
