run_id,kappa,concentration,mu,outside_mid_ratio,seed,face_value,delta_passive,delta_active,trading_effect,trading_relief_ratio,total_liabilities,total_face_value,default_count_total,default_face_total,default_rate_total,count_no_trade,face_no_trade,default_count_no_trade,default_face_no_trade,default_rate_no_trade,count_hold_to_maturity,face_hold_to_maturity,default_count_hold_to_maturity,default_face_hold_to_maturity,default_rate_hold_to_maturity,count_sell_before,face_sell_before,default_count_sell_before,default_face_sell_before,default_rate_sell_before,count_round_trip,face_round_trip,default_count_round_trip,default_face_round_trip,default_rate_round_trip
balanced_active_fe6cdab1a332,0.25,5.0,0.0,1.0,62,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_313066401427,0.25,5.0,0.25,1.0,63,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_8af4a7cfc902,0.25,5.0,0.5,1.0,64,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_2f2d6efc20dd,0.25,5.0,0.75,1.0,65,20,0.0,0.0,0.0,0.0,10,14997.0,0,0.0,0.0,10,14997.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_83180d680066,0.25,5.0,1.0,1.0,66,20,0.0,0.0,0.0,0.0,10,14998.0,0,0.0,0.0,10,14998.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_362c0c1973bf,0.5,0.2,0.0,1.0,67,20,1.0,1.0,0.0,0.0,10,14998.0,9,14998.0,1.0,6,1502.0,5,1502.0,1.0,0,0.0,0,0.0,0.0,4,13496.0,4,13496.0,1.0,0,0.0,0,0.0,0.0
balanced_active_6d4a88f1c436,0.5,0.2,0.25,1.0,68,20,0.7211147409827321,0.7211147409827321,0.0,0.0,6,13659.0,2,9476.0,0.6937550333113698,2,3585.0,0,0.0,0.0,2,598.0,0,0.0,0.0,2,9476.0,2,9476.0,1.0,0,0.0,0,0.0,0.0
balanced_active_a5e72df20f69,0.5,0.2,0.5,1.0,69,20,0.6680890785438058,0.6680890785438058,0.0,0.0,8,13818.0,2,8840.0,0.6397452598060501,4,4267.0,0,0.0,0.0,2,711.0,0,0.0,0.0,2,8840.0,2,8840.0,1.0,0,0.0,0,0.0,0.0
balanced_active_e140d25a955d,0.5,0.2,0.75,1.0,70,20,0.6369940654797626,1.0,-0.3630059345202373,-0.5698733382183607,2,572.0,2,572.0,1.0,0,0.0,0,0.0,0.0,2,572.0,2,572.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0
balanced_active_52a8deb886cd,0.5,0.2,1.0,1.0,71,20,0.9666644442962864,0.9666644442962864,0.0,0.0,4,10216.0,2,9716.0,0.9510571652310101,2,500.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,9716.0,2,9716.0,1.0,0,0.0,0,0.0,0.0
